x 	 y 	 b 	 n 	 func
 0.200000 	 0.210000 	 1.000000 	 7.000000 	 0.471515
 0.200000 	 0.210000 	 1.000000 	 19.000000 	 0.471458
 0.200000 	 0.210000 	 1.055000 	 1.000000 	 0.410860
 0.200000 	 0.210000 	 1.055000 	 7.000000 	 0.476205
 0.200000 	 0.210000 	 1.055000 	 19.000000 	 0.475930
 0.200000 	 0.210000 	 1.110000 	 1.000000 	 0.404804
 0.200000 	 0.210000 	 1.110000 	 7.000000 	 0.480330
 0.200000 	 0.210000 	 1.110000 	 19.000000 	 0.479757
 0.200000 	 0.210000 	 1.165000 	 1.000000 	 0.398346
 0.200000 	 0.210000 	 1.165000 	 7.000000 	 0.484000
 0.200000 	 0.210000 	 1.165000 	 19.000000 	 0.483055
 0.200000 	 0.210000 	 1.220000 	 1.000000 	 0.391629
 0.200000 	 0.210000 	 1.220000 	 7.000000 	 0.487289
 0.200000 	 0.210000 	 1.220000 	 19.000000 	 0.485919
 0.200000 	 0.210000 	 1.275000 	 1.000000 	 0.384763
 0.200000 	 0.210000 	 1.275000 	 7.000000 	 0.490251
 0.200000 	 0.210000 	 1.275000 	 19.000000 	 0.488421
 0.200000 	 0.210000 	 1.330000 	 1.000000 	 0.377833
 0.200000 	 0.210000 	 1.330000 	 7.000000 	 0.492923
 0.200000 	 0.210000 	 1.330000 	 19.000000 	 0.490619
 0.200000 	 0.210000 	 1.385000 	 1.000000 	 0.370901
 0.200000 	 0.210000 	 1.385000 	 7.000000 	 0.495330
 0.200000 	 0.210000 	 1.385000 	 19.000000 	 0.492561
 0.200000 	 0.210000 	 1.440000 	 1.000000 	 0.364015
 0.200000 	 0.210000 	 1.440000 	 7.000000 	 0.497488
 0.200000 	 0.210000 	 1.440000 	 19.000000 	 0.494283
 0.200000 	 0.210000 	 1.495000 	 1.000000 	 0.357211
 0.200000 	 0.210000 	 1.495000 	 7.000000 	 0.499409
 0.200000 	 0.210000 	 1.495000 	 19.000000 	 0.495818
 0.200000 	 0.210000 	 1.550000 	 1.000000 	 0.350514
 0.200000 	 0.210000 	 1.550000 	 7.000000 	 0.501102
